0	0	1.20904e-11
0	1	1.20904e-11
0	2	1.20904e-11
0	3	1.20904e-11
0	4	1.20904e-11
0	5	1.20904e-11
0	6	1.20904e-11
0	7	1.09751e-08
0	8	0.956457
0	9	818.789
0	10	598122
1	0	1.20904e-11
1	1	1.20904e-11
1	2	1.20904e-11
1	3	1.20904e-11
1	4	1.20904e-11
1	5	1.20904e-11
1	6	1.20904e-11
1	7	3.39051e-08
1	8	1.56716
1	9	1062.53
1	10	609836
2	0	1.20904e-11
2	1	1.20904e-11
2	2	1.20904e-11
2	3	1.20904e-11
2	4	1.20904e-11
2	5	1.20904e-11
2	6	1.20904e-11
2	7	1.43586e-06
2	8	8.84922
2	9	5966.6
2	10	523880
3	0	1.20904e-11
3	1	1.20904e-11
3	2	1.20904e-11
3	3	1.20904e-11
3	4	1.20904e-11
3	5	1.20904e-11
3	6	1.20904e-11
3	7	2.36621e-06
3	8	10.7046
3	9	6694.86
3	10	532352
4	0	1.20904e-11
4	1	1.20904e-11
4	2	1.20904e-11
4	3	1.20904e-11
4	4	1.20904e-11
4	5	1.20904e-11
4	6	1.20904e-11
4	7	7.49078e-05
4	8	61.0668
4	9	37933.1
4	10	436854
5	0	1.20904e-11
5	1	1.20904e-11
5	2	1.20904e-11
5	3	1.20904e-11
5	4	1.20904e-11
5	5	1.20904e-11
5	6	1.20904e-11
5	7	0.000415137
5	8	152.429
5	9	89041
5	10	404322
6	0	1.20904e-11
6	1	1.20904e-11
6	2	1.20904e-11
6	3	1.20904e-11
6	4	1.20904e-11
6	5	1.20904e-11
6	6	1.20904e-11
6	7	0.00208766
6	8	378.051
6	9	195432
6	10	378769
7	0	1.20904e-11
7	1	1.20904e-11
7	2	1.20904e-11
7	3	1.20904e-11
7	4	1.20904e-11
7	5	1.20904e-11
7	6	1.20904e-11
7	7	0.00980962
7	8	953.658
7	9	408411
7	10	362232
8	0	1.20904e-11
8	1	1.20904e-11
8	2	1.20904e-11
8	3	1.20904e-11
8	4	1.20904e-11
8	5	1.20904e-11
8	6	1.20904e-11
8	7	0.0438663
8	8	2448.67
8	9	809556
8	10	353093
9	0	1.20904e-11
9	1	1.20904e-11
9	2	1.20904e-11
9	3	1.20904e-11
9	4	1.20904e-11
9	5	1.20904e-11
9	6	8.67272e-11
9	7	0.188674
9	8	6324.39
9	9	1.51802e+06
9	10	349125
10	0	1.20904e-11
10	1	1.20904e-11
10	2	1.20904e-11
10	3	1.20904e-11
10	4	1.20904e-11
10	5	1.20904e-11
10	6	1.53701e-09
10	7	0.784234
10	8	16152.7
10	9	2.688e+06
10	10	347834
11	0	1.20904e-11
11	1	1.20904e-11
11	2	1.20904e-11
11	3	1.20904e-11
11	4	1.20904e-11
11	5	1.20904e-11
11	6	2.17546e-08
11	7	3.11784
11	8	40143.6
11	9	4.49042e+06
11	10	346605
12	0	1.20904e-11
12	1	1.20904e-11
12	2	1.20904e-11
12	3	1.20904e-11
12	4	1.20904e-11
12	5	1.20904e-11
12	6	2.51063e-07
12	7	11.9817
12	8	95886
12	9	7.07183e+06
12	10	342462
13	0	1.20904e-11
13	1	1.20904e-11
13	2	1.20904e-11
13	3	1.20904e-11
13	4	1.20904e-11
13	5	1.20904e-11
13	6	2.5748e-07
13	7	34.5293
13	8	140421
13	9	7.12388e+06
13	10	365919
14	0	1.20904e-11
14	1	1.20904e-11
14	2	1.20904e-11
14	3	1.20904e-11
14	4	1.20904e-11
14	5	1.20904e-11
14	6	2.00859e-05
14	7	156.933
14	8	470590
14	9	1.47289e+07
14	10	318209
15	0	1.20904e-11
15	1	1.20904e-11
15	2	1.20904e-11
15	3	1.20904e-11
15	4	1.20904e-11
15	5	1.20904e-11
15	6	2.51499e-05
15	7	467.816
15	8	722395
15	9	1.48745e+07
15	10	318751
16	0	1.20904e-11
16	1	1.20904e-11
16	2	1.20904e-11
16	3	1.20904e-11
16	4	1.20904e-11
16	5	1.20904e-11
16	6	0.000221399
16	7	1546.64
16	8	1.47911e+06
16	9	1.97652e+07
16	10	284828
17	0	1.20904e-11
17	1	1.20904e-11
17	2	1.20904e-11
17	3	1.20904e-11
17	4	1.20904e-11
17	5	1.20904e-11
17	6	0.00186804
17	7	4789.19
17	8	2.82315e+06
